rank_13,rank_12,institution,country,size,focus,research,age,status,academic_reputation_score_13,academic_reputation_rank_13,employer_reputation_score_13,employer_reputation_13_rank,faculty_student_score__13,faculty_student_rank_13,citations_per_faculty_score_13,citations_per_faculty_rank_13,intl_faculty_score_13,intl_faculty_rank_13,intl_students_score_13,intl_students_rank_13,overall_score_13
1,1,MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),US,M,CO,VH,5,B,100.0,6,100.0,5,100.0,14,99.7,13,97.6,49,96.3,48,100.0
2,3,HARVARD UNIVERSITY,US,L,FC,VH,5,B,100.0,1,100.0,3,99.3,33,100,4,94.1,74,85.3,105,99.2
3,2,UNIVERSITY OF CAMBRIDGE,GB,L,FC,VH,5,A,100.0,2,100.0,2,99.6,30,95.8,37,95.5,65,96.0,51,99.0
4,4,UCL (UNIVERSITY COLLEGE LONDON),GB,L,FC,VH,5,A,99.9,16,98.7,22,98.9,37,95.6,38,96.5,54,100.0,10,98.9
5,6,IMPERIAL COLLEGE LONDON,GB,L,FC,VH,5,A,99.9,14,100.0,9,99.8,25,92.5,49,99.9,34,99.9,11,98.8
6,5,UNIVERSITY OF OXFORD,GB,L,FC,VH,5,A,100.0,3,100.0,1,100.0,11,93.1,45,97.7,47,96.7,42,98.7
7,15,STANFORD UNIVERSITY,US,L,FC,VH,5,A,100.0,5,100.0,7,94.4,62,100,5,75.6,170,76.0,139,96.8
8,7,YALE UNIVERSITY,US,M,FC,VH,5,B,100.0,10,100.0,14,100.0,4,88.8,58,94.4,73,72.7,156,96.5
9,8,UNIVERSITY OF CHICAGO,US,L,FC,VH,5,B,99.9,15,94.3,41,96.2,51,97.8,28,78.8,161,74.9,147,96.2
10,10,CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),US,S,CO,VH,5,B,99.6,25,69.2,146,100.0,5,100,2,92.2,90,87.7,95,96.1
10,9,PRINCETON UNIVERSITY,US,M,CO,VH,5,B,100.0,11,95.1,38,96.3,50,98.8,23,76.3,169,68.8,179,96.1
12,13,ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),CH,L,FO,VH,5,A,99.9,18,97.9,32,76.5,138,94.9,39,100.0,8,98.4,31,94.3
13,12,UNIVERSITY OF PENNSYLVANIA,US,L,FC,VH,5,B,98.4,36,93.8,43,99.9,16,92.7,47,55.0,240,69.8,174,93.8
14,11,COLUMBIA UNIVERSITY,US,L,FC,VH,5,B,100.0,12,100.0,15,95.9,54,96.8,34,16.2,401,78.8,127,93.6
15,14,CORNELL UNIVERSITY,US,L,FC,VH,5,B,99.8,22,97.8,33,75.1,145,99.2,20,87.8,110,64.6,191,92.5
16,16,JOHNS HOPKINS UNIVERSITY,US,L,FC,VH,5,B,96.0,45,64.1,179,100.0,6,97.8,27,78.9,159,69.7,175,92.1
17,21,UNIVERSITY OF EDINBURGH,GB,L,FC,VH,5,A,99.7,24,98.3,25,75.1,146,84.5,73,89.8,100,97.3,38,91.3
17,19,UNIVERSITY OF TORONTO,CA,XL,FC,VH,5,A,99.9,13,95.9,36,78.8,132,82.2,79,97.7,48,86.8,100,91.3
19,29,ECOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),CH,M,FO,VH,5,A,87.9,70,88.3,66,94.5,61,88.2,61,100.0,7,100.0,9,90.9
19,26,KING'S COLLEGE LONDON (KCL),GB,L,FC,VH,5,A,94.6,49,93.7,45,89.9,88,79.3,87,93.9,75,96.6,45,90.9
21,18,MCGILL UNIVERSITY,CA,L,FC,VH,5,A,99.1,31,95.7,37,90.2,84,72.2,113,81.1,150,90.2,82,90.6
22,17,UNIVERSITY OF MICHIGAN,US,XL,FC,VH,5,A,99.8,20,95.0,39,92.7,73,88.7,59,44.0,284,45.9,290,90.5
23,20,DUKE UNIVERSITY,US,L,FC,VH,5,B,96.2,44,85.8,79,99.9,21,98.4,25,16.4,401,44.4,300,90.1
24,25,NATIONAL UNIVERSITY OF SINGAPORE (NUS),SG,XL,FC,VH,5,A,100.0,9,99.9,16,89.1,90,57.3,204,100.0,15,96.6,44,89.4
25,22,UNIVERSITY OF CALIFORNIA BERKELEY (UCB),US,XL,FC,VH,5,A,100.0,4,100.0,12,52.1,284,98.9,22,93.9,76,74.7,150,89.0
